Temporada,Rank,Equip,Nacionalitat,Jugador,Gols,PJ,Gpp,Asist,App,Pen,Pen %,FD,FD %,Az,Azpp,Rj,Rjpp
16/17,22,VIC,ES,"BANCELLS CHAVALES, ROMÀ",21,30,0.70,13,0.43,1/5,20.00,4/15,26.67,,,,
16/17,23,LIC,ES,"PÉREZ GONZÁLEZ, ANTONIO",21,30,0.70,3,0.10,0/1,0.00,3/11,27.27,1,0.03,,
16/17,24,VEN,ES,"FERRER MIRO, JORDI",20,30,0.67,2,0.07,,,1/8,12.50,,,,
16/17,25,FCB,AR,"PASCUAL, MATÍAS JOSÉ",20,30,0.67,8,0.27,0/1,0.00,,,1,0.03,,
16/17,26,NOI,ES,"ESTELLER PLA, ALEIX",20,30,0.67,3,0.10,,,,,3,0.10,,
16/17,27,IGU,ES,"PLA PALAU, SERGI",20,30,0.67,7,0.23,,,4/9,44.44,,,,
16/17,28,LIC,ES,"LAMAS ALSINA, JOSEP",20,29,0.69,3,0.10,,,5/12,41.67,6,0.21,,
16/17,29,ALCY,ES,"CAÑELLAS ASTUDILLO, PERE",20,30,0.67,6,0.20,,,,,2,0.07,,
16/17,30,REU,ES,"SALVAT CARBÓ, JOAN",19,30,0.63,3,0.10,,,0/1,0.00,1,0.03,,
16/17,31,VEN,ES,"CREUS CROS, JORDI",19,30,0.63,8,0.27,,,8/19,42.11,6,0.20,,
16/17,32,ALCB,ES,"CANDANEDO LEAL, CESAR",19,30,0.63,4,0.13,1/1,100.00,4/18,22.22,3,0.10,,
16/17,33,VIC,ES,"CASAS LOZANO, MARTÍ",18,30,0.60,5,0.17,1/1,100.00,4/10,40.00,3,0.10,,
16/17,34,REU,ES,"CASANOVAS VAZQUEZ, ALBERT",18,29,0.62,2,0.07,10/13,76.92,,,2,0.07,,
16/17,35,REU,ES,"RODRIGUEZ DALMAU, ALEX",18,30,0.60,5,0.17,1/2,50.00,0/4,0.00,3,0.10,,
16/17,36,CLD,ES,"ACSENSI VALIENTE, ROGER",18,30,0.60,4,0.13,6/9,66.67,0/1,0.00,3,0.10,,
16/17,37,LIC,FR,"DI BENEDETTO, CARLO",18,30,0.60,1,0.03,,,1/4,25.00,1,0.03,,
16/17,38,MAN,ES,"MANGAS COLL, ANIOL",17,30,0.57,2,0.07,,,4/18,22.22,3,0.10,,
16/17,39,REU,AR,"PLATERO, MATIAS JONATHAN",17,29,0.59,2,0.07,,,,,5,0.17,,
16/17,40,ALCB,ES,"LOPEZ GALA, MARCOS",17,29,0.59,2,0.07,2/6,33.33,0/1,0.00,8,0.28,,
16/17,41,VLF,ES,"PALAU MIR, MARC",16,30,0.53,3,0.10,1/8,12.50,1/5,20.00,1,0.03,,
16/17,42,IGU,ES,"VIVES BOERSMA, CESAR",16,30,0.53,2,0.07,2/6,33.33,3/3,100.00,3,0.10,,
